Time (s),Torque (Nm)
0.00,0.0
0.01,0.1
0.02,0.2
0.03,0.3
0.04,0.4
0.05,0.5
0.06,0.6
0.07,0.7
0.08,0.8
0.09,0.9
0.10,1.0
0.11,1.1
0.12,1.2
0.13,1.3
0.14,1.4
0.15,1.5
0.16,1.6
0.17,1.7
0.18,1.8
0.19,1.9
0.20,2.0
0.21,2.1
0.22,2.2
0.23,2.3
0.24,2.4
0.25,2.5
0.26,2.6
0.27,2.7
0.28,2.8
0.29,2.9
0.30,3.0
0.31,3.1
0.32,3.2
0.33,3.3
0.34,3.4
0.35,3.5
0.36,3.6
0.37,3.7
0.38,3.8
0.39,3.9
0.40,4.0
0.41,4.1
0.42,4.2
0.43,4.3
0.44,4.4
0.45,4.5
0.46,4.6
0.47,4.7
0.48,4.8
0.49,4.9
0.50,5.0
0.51,5.1
0.52,5.2
0.53,5.3
0.54,5.4
0.55,5.5
0.56,5.6
0.57,5.7
0.58,5.8
0.59,5.9
0.60,6.0
0.61,6.1
0.62,6.2
0.63,6.3
0.64,6.4
0.65,6.5
0.66,6.6
0.67,6.7
0.68,6.8
0.69,6.9
0.70,7.0
0.71,7.1
0.72,7.2
0.73,7.3
0.74,7.4
0.75,7.5
0.76,7.6
0.77,7.7
0.78,7.8
0.79,7.9
0.80,8.0
0.81,8.1
0.82,8.2
0.83,8.3
0.84,8.4
0.85,8.5
0.86,8.6
0.87,8.7
0.88,8.8
0.89,8.9
0.90,9.0
0.91,9.1
0.92,9.2
0.93,9.3
0.94,9.4
0.95,9.5
0.96,9.6
0.97,9.7
0.98,9.8
0.99,9.9
1.00,10.0
1.01,10.1
1.02,10.2
1.03,10.3
1.04,10.4
1.05,10.5
1.06,10.6
1.07,10.7
1.08,10.8
1.09,10.9
1.10,11.0
1.11,11.1
1.12,11.2
1.13,11.3
1.14,11.4
1.15,11.5
1.16,11.6
1.17,11.7
1.18,11.8
1.19,11.9
1.20,12.0
1.21,12.1
1.22,12.2
1.23,12.3
1.24,12.4
1.25,12.5
1.26,12.6
1.27,12.7
1.28,12.8
1.29,12.9
1.30,13.0
1.31,13.1
1.32,13.2
1.33,13.3
1.34,13.4
1.35,13.5
1.36,13.6
1.37,13.7
1.38,13.8
1.39,13.9
1.40,14.0
1.41,14.1
1.42,14.2
1.43,14.3
1.44,14.4
1.45,14.5
1.46,14.6
1.47,14.7
1.48,14.8
1.49,14.9
1.50,15.0
1.51,15.1
1.52,15.2
1.53,15.3
1.54,15.4
1.55,15.5
1.56,15.6
1.57,15.7
1.58,15.8
1.59,15.9
1.60,16.0
1.61,16.1
1.62,16.2
1.63,16.3
1.64,16.4
1.65,16.5
1.66,16.6
1.67,16.7
1.68,16.8
1.69,16.9
1.70,17.0
1.71,17.1
1.72,17.2
1.73,17.3
1.74,17.4
1.75,17.5
1.76,17.6
1.77,17.7
1.78,17.8
1.79,17.9
1.80,18.0
1.81,18.1
1.82,18.2
1.83,18.3
1.84,18.4
1.85,18.5
1.86,18.6
1.87,18.7
1.88,18.8
1.89,18.9
1.90,19.0
1.91,19.1
1.92,19.2
1.93,19.3
1.94,19.4
1.95,19.5
1.96,19.6
1.97,19.7
1.98,19.8
1.99,19.9
2.00,20.0
